,BSSE_QGF_204446,BSSE_QGF_204447,BSSE_QGF_204448,BSSE_QGF_204449,BSSE_QGF_204450,BSSE_QGF_204451,BSSE_QGF_204452,BSSE_QGF_204453,BSSE_QGF_204458,BSSE_QGF_204459,BSSE_QGF_204460,BSSE_QGF_204461,BSSE_QGF_204462,BSSE_QGF_204463,BSSE_QGF_204464,BSSE_QGF_204465
ENSG00000270192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122873,474,295,1174,372,547,395,849,482,491,295,597,349,549,356,1001,461
ENSG00000228527,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
ENSG00000072401,332,189,323,225,299,229,236,273,312,324,215,270,464,203,330,230
ENSG00000108064,1576,780,2782,1121,1460,946,2017,1069,1413,1046,1533,862,1606,759,2539,964
ENSG00000122870,1,2,0,1,2,4,1,0,1,2,0,0,1,1,1,0
LRG_853,1,2,0,1,2,4,1,0,1,2,0,0,1,1,1,0
ENSG00000183055,30,17,45,31,83,41,40,41,40,20,35,36,48,17,49,29
ENSG00000252076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165443,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ENSG00000236556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000287969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235140,0,2,0,1,0,1,0,0,0,1,0,0,0,0,1,1
ENSG00000232682,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000202190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000122872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000254271,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
ENSG00000170312,1905,1099,5645,370,1927,1580,4397,470,1945,749,3617,1509,1263,1143,5158,2002
ENSG00000227244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000288052,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
ENSG00000183346,1,1,1,3,1,0,0,1,1,0,0,0,2,0,0,1
ENSG00000150347,2251,3053,2827,2623,2559,3084,1600,3824,2516,3577,1651,3348,2598,3229,2018,3042
ENSG00000234756,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ENSG00000240940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138311,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
ENSG00000285837,1,4,5,1,4,7,67,0,1,0,19,1,1,1,27,0
ENSG00000285551,1,5,6,1,4,9,76,0,1,0,26,1,1,2,30,0
ENSG00000181915,1332,664,2211,752,1794,924,2501,810,1578,883,1889,641,1731,962,1996,917
ENSG00000199446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000148572,809,794,1503,926,1112,963,1242,1057,886,858,966,754,798,954,1085,797
ENSG00000234369,176,153,355,237,155,162,237,207,155,161,225,158,155,142,317,225
ENSG00000270421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235816,0,0,1,0,3,0,2,0,4,1,0,0,0,0,0,1
ENSG00000272767,2,3,5,1,2,0,3,2,0,0,1,0,0,0,4,2
ENSG00000224412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000165476,744,471,1001,790,742,605,838,732,717,750,791,761,890,498,825,628
ENSG00000286373,0,1,1,3,1,1,2,2,0,1,2,0,1,4,3,2
ENSG00000270352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000216740,5,5,2,2,13,7,3,3,3,5,4,2,6,3,12,5
ENSG00000270754,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000282906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000235356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000228065,3,1,0,0,8,0,0,0,3,0,1,1,2,2,0,0
ENSG00000273360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000277056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000198739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000289325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000213606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000225922,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
ENSG00000212520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000237141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000272892,14,14,11,22,21,24,26,20,15,15,14,7,11,15,39,10
ENSG00000219932,235,255,673,350,249,181,456,276,189,138,350,215,185,304,494,354
ENSG00000096717,1087,789,1292,929,1307,1211,672,1227,1055,1075,473,971,1296,910,786,914
ENSG00000138347,2,0,2,0,0,0,3,2,0,0,1,1,0,3,2,1
LRG_410,0,0,1,0,0,0,2,0,0,0,1,0,0,0,0,0
ENSG00000222371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000234102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000096746,6016,4973,9020,5402,7156,5517,7658,5574,5673,4734,4960,4080,5921,5235,8590,4616
ENSG00000234806,1,0,1,0,2,2,3,0,1,1,0,2,0,2,0,2
ENSG00000199638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000226493,15,7,24,9,23,19,22,13,10,13,22,16,8,12,22,12
ENSG00000207438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSG00000138336,410,318,234,277,397,307,235,301,374,388,214,262,287,217,176,195
ENSG00000213025,164,98,261,97,133,83,87,61,77,78,71,40,74,68,101,62
ENSG00000227583,1,2,6,4,8,3,4,3,1,2,7,2,0,3,1,5
ENSG00000260400,86,62,8,71,68,58,24,57,76,111,28,66,75,19,20,19
ENSG00000060339,5227,4311,5653,5510,6620,5800,5750,6041,5318,5129,4085,4942,5061,4476,6337,5431
ENSG00000283551,9,5,18,2,5,7,9,4,20,9,4,10,7,4,10,4
ENSG00000221184,50,44,20,46,38,39,26,51,20,40,24,40,37,42,28,37
ENSG00000165730,21,2,11,4,36,13,39,22,127,78,79,97,10,10,16,12
